typo,orig,historique
RUE DU COLONEL MOLL,"Moll, lieutenant-colonel, gouverneur militaire du Tchad, tué le 9 novembre 1910 au combat de Drijelé (Afrique).",La partie B a porté le nom de square Saint-Ferdinand.
IMPASSE DES CARRIERES,"Voisinage de l'ancienne rue des Carrières, actuellement rue Nicolo, qui conduisait aux carrières de Passy.",
RUE RIBERA,"José de Ribera (1591-1652), peintre espagnol ; quartier où ont été groupés des noms d'artistes.","Précédemment, rue de la Croix. La partie A est tracée sur le plan cadastral de 1822."
RUE SAINT-LUC,"Saint-Luc, évangéliste ; voisinage de l'église Saint-Bernard.",Le tronçon A était une partie de l'ancienne place de l'Eglise.
RUE LESAGE,"Alain René Lesage (1668-1747), romancier et auteur dramatique français ; voisinage du théâtre de Belleville.",Précédemment rue du Théâtre.
RUE NOTRE-DAME DE NAZARETH,Voisinage de la rue du Temple où les pères de Nazareth avaient établi leur couvent vers 1630.,"Précédemment rue Neuve Saint-Martin, parties A et B, et rue du Ponceau, partie C. La partie A est appelée rue Notre-Dame de Nazareth depuis 1630 ; antérieurement, elle était comprise dans la rue Neuve Saint-Martin. La rue Neuve Saint-Martin était ainsi appelée dès 1421 ; on la trouve parfois désignée sous le nom de rue du Mûrier ou de rue de l'Egout Saint-Martin. La rue du Ponceau a été établie, sous ce nom, en 1605 à l'emplacement d'un égout."
RUE SEGUIER,"Famille de magistrats parisiens. Pierre Séguier (1588-1672), chancelier de France.","Précédemment, rue Pavée Saint-André ou rue Pavée Saint-André des Arts ; et plus anciennement, rue Pavée d'Andouilles (XVIe siècle), rue Pavée (1300)."
RUE WILHEM,"Guillaume Louis Bocquillon, dit Wilhem (1781-1842), fondateur de l'orphéon municipal.","Précédemment, rue de Seine (ancien sentier des Arches), qui allait de l'église d'Auteuil à la Seine, dans les parties A et C ; elles sont indiquées sur le plan de Roussel (1730). La partie B remplace le tronçon de la rue Wilhem déclassé par le décret du 22 décembre 1890 (UP) ; une partie de ce tronçon est maintenant comprise dans la rue Narcisse Diaz."
RUE KELLER,"Jean Balthazar Keller (1638-1702), orfèvre et fondeur ; quartier industriel.",Ouverte par la Ville de Paris sur les terrains de l'ancien marché au charbon.
RUE YVART,"Jean Augustin Victor Yvart (1764-1831), agronome ; quartier où ont été groupés des noms d'agronomes.","Précédemment, petit chemin des Tournelles et antérieurement chemin des Tournelles. Chemin vicinal de l'ancienne commune de Vaugirard, non mentionné au décret du 23 mai 1863. Des arrêtés préfectoraux du 15 novembre 1860 et du 6 février 1883 avaient ordonné la fermeture de la rue, faute d'entretien par les riverains. Un arrêté du Conseil d'Etat du 8 janvier 1886 a déclaré qu'elle était voie publique."
BOULEVARD DE REUILLY,Voisinage de la rue de Reuilly.,"Précédemment : 1° A l'extérieur de l'ancien mur d'octroi : boulevard de Charenton entre la rue de Charenton et la place Félix Eboué ; boulevard de Reuilly pour le surplus. 2° A l'intérieur de l'ancien mur d'octroi : partie de la place de la Barrière de Charenton qui était située au débouché de la rue de Charenton ; chemin de ronde de Charenton entre cette dite place et la place Félix Eboué ; chemin de ronde de Reuilly entre la place Félix Eboué et la place de la Barrière de Picpus qui était située au débouché de la rue de Picpus ; partie de la place de la Barrière de Picpus. La partie du boulevard de Reuilly située à la rencontre de l'avenue Daumesnil et des rues Claude Decaen, Lamblardie et de Reuilly a été nommée place Félix Eboué."
PROMENADE ALAIN DEVAQUET,"Alain Devaquet, né Alain, Jean, Pierre Devaquet  (Raon-l'Etape - Vosges, 1942 - Villejuif - Val de Marne, 2018), chimiste et homme politique. maire du 11e arrondissement de Paris de 1983 à 1995. Officier de la Légion d'honneur.",
RUE JEANNE D'ARC,"Jeanne d'Arc (1412-1431), héroïne française.",Précédemment rue de l'Eglise (parties M et B).
RUE BICHAT,"Marie François Xavier Bichat (1771-1802), médecin français ; voisinage de l'hôpital Saint-Louis.","Anciennement rue Carême Prenant, dans la partie C. La partie D était autrefois comprise dans la rue des Récollets."
BOULEVARD MONTMARTRE,Voisinage de l'ancienne porte Montmartre.,Pendant la Révolution on l'appelait boulevard Montmarat.
BOULEVARD BEAUMARCHAIS,"Pierre Augustin Caron de Beaumarchais (1732-1799), écrivain et auteur français ; son hôtel était situé à l'angle du boulevard Richard Lenoir et du boulevard Beaumarchais.","Précédemment, boulevard Saint-Antoine ; on l'a appelé aussi boulevard de la Porte Saint-Antoine."
RUE VERGNIAUD,"Pierre Victurnien Vergniaud (1753-1793), homme politique français, député girondin.",Précédemment rue Pascal (déc. du 16 avril 1895). Amorcée en 1893.
PROMENADE ROLAND CASTRO,"Roland Castro (1940-2023), architecte.",
RUE JEAN RICHEPIN,"Jean Richepin (1849-1926), poète français.",Précédemment rue Emile Augier. Antérieurement rue Camille Charpentier.
RUE DU MONT AIGOUAL,"Massif ancien des Cévennes, entre le Gard et la Lozère.",Voie située dans la Zac `Citroën-Cévennes`. Elle avait été provisoirement dénommée BD/15.
RUE DES JONQUILLES,,Voie de desserte créée en 1977 dans le cadre de l'aménagement de l'îlot Vercingétorix sud.
SQUARE JOUVENET,"Jean Jouvenet (1644-1717), peintre décorateur et dessinateur français ; quartier où ont été groupés des noms d'artistes. Voisinage de la rue Jouvenet.","Précédemment impasse Jouvenet. Plus anciennement, impasse de la Réunion."
PLACE JULES SENARD,"Jules Antoine Senard (1800-1885), remarquable avocat, bâtonnier de l'ordre des avocats de Paris et homme politique français, organisateur de l'un des banquets réformistes qui marquèrent les débuts de la Révolution de 1848. Ministre de l'intérieur de juin à octobre 1848.",Elle avait été provisoirement dénommée BB/19.
RUE JULES BOURDAIS,"Jules Bourdais, un des architectes du Trocadéro.",Ouverte par la Ville de Paris sur l'emplacement des bastions 46 et 47.
PLACE MARIE-MADELEINE FOURCADE,Marie-Madeleine Fourcade (1909-1989) fut la seule femme chef de réseau de la Résistance.,Voie créée dans le cadre de l'aménagement de la Zac `Dupleix`. Elle avait été provisoirement dénommée BX/15.
RUE MOUNET-SULLY,"Jean Sully Mounet dit Mounet-Sully (1841-1916), tragédien ; quartier où ont été groupés des noms d'artistes.",Ouverte par la Ville de Paris sur l'emplacement de l'ancienne usine à gaz de Saint-Mandé.
CITE MARIE,"Marie, prénom de la fille du propriétaire du terrain.","En 1962, une partie de la voie a été supprimée par la réalisation d'un ensemble de constructions neuves."
VOIE Q/17,,
VOIE G/5,,
VOIE G/13,,
SQUARE SEDILLOT,Voisinage de la rue Sédillot.,
VOIE V/20,,
RUE SIGMUND FREUD,"Sigmund Freud (Freiberg, 1856-Londres, 1939), neurologue et psychiatre autrichien, fondateur de la psychanalyse.",Elle avait été provisoirement dénommée AG/19.
AVENUE SIMON BOLIVAR,"Simon Bolivar y Ponte (1783-1830), libérateur de l'Amérique du Sud.",Précédemment rue Bolivar (arr. du 4 novembre 1880). Antérieurement partie de la rue de Puebla.
PLACE SAINT-GERVAIS,Place située en face de l'église Saint-Gervais.,"Précédemment, rue François Miron ; avant 1838 rue du Monceau Saint-Gervais. Elle a englobé le carrefour de l'Orme."
RUE SAINT-JUST,"Louis Antoine Léon de Saint-Just (1767-1794), homme politique français, député à la Convention, membre du Comité de Salut public, guillotiné le 10 thermidor (28 juillet 1794).","Précédemment partie de la rue Rouget de l'Isle située autrefois sur le territoire de Clichy annexé à Paris par décret du 27 juillet 1930. Une partie du tronçon qui débouchait rue Rouget de l'Isle, à la limite du territoire de Clichy, a été supprimée après avoir été déclassée par arrêté du 18 septembre 1964, le surplus de ce tronçon a été incorporé au boulevard Périphérique en 1969."
PLACE DES PYRAMIDES,Voisinage de la rue des Pyramides.,Précédemment place de Rivoli.
SQUARE DE VIVARAIS,Ancien pays de France.,Ouvert sur l'emplacement du bastion 49.
RUE PAUL ABADIE,"Paul Abadie (Paris 1812 - Chatou 1884), architecte de la basilique du Sacré-Cœur de Montmartre. Officier de la légion d'honneur.",Voie créée dans le cadre de l'aménagement de la Zac `Moskova`. Précédemment dénommée voie BZ/18.
PLACE JULES RIMET,"Jules Rimet (Theuley, 1873 - Suresnes, 1956), créa en 1919 la fédération française de football-association et en assuma la présidence jusqu'en 1949. Il présida de 1920 à 1954 la Fédération internationale de football-association et fut à l'initiative de la coupe du Monde de football. Auteur de ""L'Histoire merveilleuses de la Coupe du Monde"". Commandeur de la Légion d'Honneur, Croix de Guerre (1914-1918), Grands Officier ou Commandeur de huit ordres étrangers.",
VOIE A/8,,
BOULEVARD DE REIMS,Souvenir des batailles livrées autour de Reims pendant la guerre de 1914-1918.,"Précédemment, partie de la route de la Révolte (CGC n° 16), située autrefois sur le territoire de Levallois-Perret annexé à Paris par décret du 27 juillet 1930."
AVENUE THEOPHILE GAUTIER,"Théophile Gautier (1811-1873), poète et critique.","Précédemment, rue Théophile Gautier, autrefois partie de la rue du Point du Jour ; précédemment partie de la rue Le Mire ; plus anciennement, partie de la rue de la Municipalité."
VILLA TOLBIAC,Voisinage de la rue de Tolbiac.,Elle avait été provisoirement dénommée BH/13.
PLACE ROBERT VERDIER,"Robert Verdier (Saint-Girons,(Ariège), 1910-2009) résistant et homme politique. Militant de la Ligue française pour la défense des droits de l'homme et du citoyen, il en sera nommé président d'honneur en 1986.",
RUE RENE VILLERME,"Louis René Villermé (1782-1863), médecin et sociologue français.","Précédemment, passage René. La partie en retour sur la rue de la Folie-Regnault avait porté antérieurement le nom de passage Duranti."
RUE LEO FRANKEL,"Léo Fränkel (Ujlak, Obuda, quartier de Budapest, 1844-Paris, 1896) ouvrier-bijoutier. Militant syndicaliste reconnu citoyen de pleins droits, élu de la Commune et ministre du Travail.","Voie créée lors de l'aménagement de la ZAC ""Paris Rive Gauche"" et précédemment identifiée voie EY/13."
VILLA DES HAUTES TRAVERSES,Ancien lieu-dit situé sur la commune de Charonne.,"Voie créée dans le cadre de l'aménagement de la Zac ""Réunion"". Précédemment dénommée voie FE/20."
VOIE BT/19,,Voie créée dans le cadre de l'aménagement du secteur `Rébeval`.
ALLEE VALENTIN ABEILLE,"Valentin Abeille (1907-1944), préfet et résistant français.",
VOIE D/9,,
VOIE DL/20,,
RUE FRANTZ FANON,"Frantz Omar Fanon (Fort de France(Martinique), 1925-Washington, 1961) psychiatre et essayiste.","Rue projetée lors de l'aménagement du secteur ""Fréquel-Fontarabie"" et précédemment identifiée voie FN/20."
PROMENADE CLAUDE LEVI-STRAUSS,"Claude Lévi-Strauss (Bruxelles(Belgique), 1908-Paris, 2009) anthropologue et ethnologue de renommée internationale.","Voie créée dans le cadre de l'aménagement de la ZAC ""Paris Rive Gauche"", et précédemment identifiée voie FZ/13."
PROMENADE JEANNE MOREAU,"Jeanne Moreau (Paris, 1928 - Paris, 2017), comédienne, interprète et réalisatrice. Officier de la Légion d'honneur et grand officier de l'Ordre national du Mérite.",
PASSAGE MARIE ROGISSART,"Marie Rogissart, née Marie Catherine Rogissart (Neufmanil (Ardennes), 1841 - Nouméa (Nouvelle-Calédonie), 1929), grande figure de la Commune de Paris. Dernière survivante des déportés politiques de la Commune de Paris.","précédemment voie DW/12, réalisée sur le site de la caserne de Reuilly."
PLACE DES DEUX ECUS,Ancienne enseigne.,"Précédemment, partie de la rue des Deux Ecus, antérieurement rue aux Ecus. La plus grande partie de l'ancienne rue des Deux Ecus a été absorbée par la rue Berger. La partie restante provient de la voie créée par Catherine de Médicis en 1577 et qui porta les noms de rue Neuve de la Reine et de rue d'Anjou avant d'être réunie à la rue des Deux Ecus."
PASSAGE BOUDIN,"M. Boudin, propriétaire.",
PASSERELLE DEBILLY,"Jean Louis Debilly (1763-1806), général de brigade, tué à la bataille d'Iéna. Voisinage du quai Debilly, aujourd'hui avenue de New York.",
PLACE DU 22 NOVEMBRE 1943,Commémoration de l'indépendance du Liban reconnue à partir de 1936 par un traité signé par la France et devenue effective le 22 novembre 1943.,
RUE ALPHONSE BOUDARD,"Alphonse Boudard (Paris, 1925-Nice, 2000) romancier et scénariste.","Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche` sur des terrains appartenant précédemment à la SNCF, et précédemment voie BQ/13."
RUE OUDINOT,"Nicolas Charles Oudinot (1767-1847), duc de Reggio, maréchal de France.",Précédemment rue Plumet et antérieurement chemin de Blomet. La partie comprise entre les rues Vaneau et Rousselet est indiquée sur le plan de Jouvin de Rochefort (1672).
PLACE MELINA MERCOURI,"Maria Amalia Merkouris (Athènes, 1920-New York, 1994) actrice, chanteuse et femme politique d'origine grecque.","Voie projetée lors de l'aménagement du secteur ""Fréquel-Fontarabie"" et précédemment identifiée voie FM/20."
RUE DE JOINVILLE,"François Ferdinand Philippe Louis Marie d'Orléans, prince de Joinville (1818-1900), troisième fils du roi Louis-Philippe.",
RUELLE DES HEBRARD,"M. Hébrard, propriétaire.","Précédemment, ruelle des Jardiniers."
AVENUE DE BRETEUIL,"Louis Auguste le Tonnelier, baron de Breteuil (1723-1807), ministre de la maison du Roi et de Paris.","La partie A a été cédée par l'Etat à la Ville de Paris (loi du 4 juin 1853). La cession du surplus a été autorisée par une loi du 19 mars 1838. La place formée par le croisement avec l'avenue Duquesne, au droit de la branche Nord de la place du Président Mithouard, a été dénommée place El Salvador par arrêté du 1er février 1965."
PONT LOUIS-PHILIPPE,Le pont primitif avait été construit sous le règne de Louis-Philippe.,Construit en 1860-1862 pour remplacer un ancien pont suspendu établi à la suite d'une ordonnance royale du 13 août 1833 et dénommé en 1848 pont de la Réforme.
COUR VIGUES,"M. Viguès, propriétaire.",
RUE D'ALEMBERT,"Jean le Rond, dit d'Alembert (1717-1783), philosophe, écrivain et mathématicien français, l'un des auteurs de ""l'Encyclopédie"".",Précédemment avenue de la Chapelle. Ouverte sur le territoire de la commune de Montrouge.
PLACE DY/13,,Voie créée dans le cadre de l'aménagement de la Zac `Tage-Kellermann`.
RUE MORERE,Nom de propriétaire.,
RUE THEODULE RIBOT,"Augustin Théodule Ribot (1823-1891), peintre et graveur.",
PORTE DE BOULOGNE,,Située autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
RUE DES AMANDIERS,"Voie faisant suite à l'ancienne rue des Amandiers (devenue rue du Chemin Vert), qui avait été percée sur un terrain dit des Amandiers.",Elle est indiquée sur le plan de Jouvin de Rochefort (1672). La partie qui débouchait sur le boulevard de Ménilmontant a été dénommée place Auguste Métivier par arrêté préfectoral du 28 octobre 1910.
VOIE EN/20,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
PORT DE LA CONFERENCE,Voisinage de l'ancien quai de la Conférence.,
